col1,col2
Sri Anumula Revanth Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_palvai_harish_babu.jpg
Dr. Palvai Harish Babu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_chittem_parnika_reddy.jpg
Smt. Kova Laxmi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_konda_surekha.jpg
Sri Vivek Venkat Swamy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_matta_ragamayee.jpg
Sri Gaddam Vinod,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_yashaswini_mamidala.jpg
Sri Kokkirala Premsagar Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smtanasuya_seethakka_danasari.jpg
Sri Payal Shanker,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt.jpg
Sri Anil Jadhav,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smtkova_laxmi.jpg
Sri Vedma. Bhojju,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smtpatlolla_sabitha_indra_reddy.jpg
Sri Alleti Maheshwar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_a_revanth_reddy.jpg
Sri Ram Rao Pawar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_aadi_srinivas.jpg
Sri Paidi Rakesh Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_adinarayana_jare.jpg
Sri P. Sudarshan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_adluri_laxman_kumar.jpg
Sri Srinivas Reddy Parige (Pocharam),https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ahmed_bin_abdullah_balala.jpg
Sri Dhanpal Suryanarayana,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_akbar_uddin_owaisi.jpg
Sri Bhoopathi Reddy Rekulapally,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_alleti_maheshwar_reddy.jpg
Sri Prashanth Reddy Vemula,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_anil_jadhav.jpg
Sri Laxmi Kantha Rao Thota,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_anirudh_reddy_janampalli.jpg
Sri Madan Mohan Rao. K,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_arekapudi_gandhi.jpg
Sri Katipally Venkata Ramana Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bmanohar_reddy.jpg
Sri Kalvakuntla Sanjay,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_balu_naik_nenavath.jpg
Sri Dr. Sanjay,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bandari_lakshma_reddy.jpg
Sri Adluri Laxman Kumar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bandla_krishna_mohan_reddy.jpg
Sri Makkan Singh Raj Thakur,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bathula_laxma_reddy.jpg
Sri Duddilla Sridhar Babu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bhatti_vikramarka_mallu.jpg
Sri Chinthakunta Vijaya Ramana Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bhoopathi_reddy_rekulapally.jpg
Sri Gangula Kamalakar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_cdamodar_rajanarsimha.jpg
Sri Medipally Sathyam,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chamakura_mall_reddy.jpg
Dr. Kavvampally Satyanarayana,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chikkudu_vamshi_krishna.jpg
