s._no,name,party,constituency,latitude,longitude,photo_url
76,Sri Anirudh Reddy Janampalli,INC,Jadcharla,16.830212356508405,78.19974276210928,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_anirudh_reddy_janampalli.jpg
117,Smt. Chittem Parnika Reddy,INC,Narayanpet,16.74878930028445,77.65583771127527,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_chittem_parnika_reddy.jpg
2,Dr. Palvai Harish Babu,BJP,Sirpur,19.382788504653767,79.70426621473212,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_palvai_harish_babu.jpg
39,Smt. Vakiti Sunitha Laxma Reddy,BRS,Narsapur,17.83112111043517,78.26061737929336,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_vakiti_sunitha_laxma_reddy.jpg
40,Sri Ponnam Prabhakar,INC,Husnabad,18.133097214246767,79.24105829906168,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ponnam_prabhakar.jpg
41,Sri Thanneeru Harish Rao,BRS,Siddipet,18.13309473030596,78.89717210618967,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_thanneeru_harish_rao.jpg
42,Sri Kotta Prabhakar Reddy,BRS,Dubbak,18.040997688299388,78.62272406060416,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kotta_prabhakar_reddy.jpg
43,Sri Kalvakuntla Chandrashekar Rao,BRS,Gajwel,17.829604000463533,78.68883518987676,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_chandrashekar_rao.jpg
44,Sri Malreddy Ranga Reddy,INC,Ibrahimpatnam,17.160771440257818,78.67679622533315,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_malreddy_ranga_reddy.jpg
45,Sri Devireddy Sudhir Reddy,BRS,Lal Bahadur Nagar,17.35178134559151,78.54587020621952,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_devireddy_sudhir_reddy.jpg
46,Smt. Patlolla Sabttha Indra Reddy,BRS,Maheswaram,17.141583122406438,78.47150242907335,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_patlolla_sabttha_indra_reddy.jpg
47,Sri T. Prakash Goud,BRS,Rajendranagar,17.290797068684235,78.35401667088362,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_t_prakash_goud.jpg
48,Sri Arekapudi Gandhi,BRS,Serilingampally,17.464936799272124,78.35708271399082,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_arekapudi_gandhi.jpg
49,Sri Kale Yadaiah,BRS,Chevella (SC),17.32745560138096,78.13670484925449,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kale_yadaiah.jpg
50,Sri Kasireddy Narayan Reddy,INC,Kalwakurthi,16.79722855697884,78.54349938534376,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kasireddy_narayan_reddy.jpg
51,Sri K Shankaraiah,INC,Shadnagar,17.04983366117013,78.19592800429157,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_k_shankaraiah.jpg
52,Dr. T. Ram Mohan Reddy,INC,Pargi,17.070068207947426,77.89336625776704,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_t_ram_mohan_reddy.jpg
53,Sri Gaddam Prasad Kumar,INC,Vicarabad (SC),17.419170475710686,77.82650446416754,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gaddam_prasad_kumar.jpg
54,Sri B. Manohar Reddy,INC,Tandur,17.276405186274893,77.57052218106574,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_b_manohar_reddy.jpg
55,Sri Chamakura Malla Reddy,BRS,Medchal,17.560775677056856,78.59612327585852,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chamakura_malla_reddy.jpg
56,Sri Marri Rajashekar Reddy,BRS,Malkajgiri,17.494396041337982,78.52761420988237,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_marri_rajashekar_reddy.jpg
57,Sri K.P. Vivekanand,BRS,Quthabullapur,17.552934277473405,78.42349509687624,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kp_vivekanand.jpg
58,Sri Madhavaram Krishna Rao,BRS,Kukatpalle,17.476414328006637,78.44536821963803,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madhavaram_krishna_rao.jpg
59,Sri Bandari Lakshma Reddy,BRS,Uppal,17.407806744675653,78.55906303871467,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bandari_lakshma_reddy.jpg
60,Sri Muta Gopal,BRS,Musheerabad,17.4075630806642,78.49891717633646,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_muta_gopal.jpg
61,Sri Ahmed Bin Abdullah Balala,AIMIM,Malakpet,17.37498694144931,78.4989284944835,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ahmed_bin_abdullah_balala.jpg
62,Sri Kaleru Venkatesh,BRS,Amberpet,17.391835405382906,78.5113877238928,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kaleru_venkatesh.jpg
63,Sri Danam Nagender,BRS,Khairatabad,17.416902596911314,78.45170008625777,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_danam_nagender.jpg
64,Sri Maganti Gopinath,BRS,Jubliee Hills,17.429578042902506,78.4174361172923,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_maganti_gopinath.jpg
65,Sri Talasani Srinivas Yadav,BRS,Sanathnagar,17.43509718749889,78.48054217022796,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_talasani_srinivas_yadav.jpg
66,Sri Mohammed Majid Hussain,Aimim,Nampally,17.394066406379437,78.45029786999433,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mohammed_majid_hussain.jpg
67,Sri Kausar Mohiuddin,AIMIM,Karwan,17.38112761797916,78.41873372394932,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kausar_mohiuddin.jpg
68,Sri T. Raja Singh,BJP,Goshamahal,17.38338735708733,78.46886658758699,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_t_raja_singh.jpg
69,Sri Mir Zulfeqar Ali,AIMIM,Charminar,17.365018689003413,78.47090332183235,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mir_zulfeqar_ali.jpg
70,Sri Akbar Uddin Owaisi,AIMIM,Chandrayangutta,17.325621285734808,78.47356164713109,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_akbar_uddin_owaisi.jpg
71,Sri Jaffar Hussain,AIMIM,Yakutpura,17.348040248320203,78.49825082314429,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jaffar_hussain.jpg
72,Sri Mohammed Mubeen,AIMIM,Bahadupura,17.347742067237075,78.44534139116155,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mohammed_mubeen.jpg
73,Sri Padma Rao. T,BRS,Secunderabad,17.423112561353765,78.52721656423721,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_padma_rao_t.jpg
74,Sri Narayanan Sri Ganesh,INC,Secunderabad Cantonment (SC),17.459068252840403,78.4937723226779,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_narayanan_sri_ganesh.jpg
78,Dr. Kuch Kulla Rajesh Reddy,INC,Nagarkurnool,16.52211868540992,78.30209279540378,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_kuch_kulla_rajesh_reddy.jpg
79,Sri Chikkudu Vamshi Krishna,INC,Achampet (SC),16.346368757602797,78.78383943444125,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chikkudu_vamshi_krishna.jpg
80,Sri Jupally Krishna Rao,INC,Kollapur,16.161816953785397,78.29052343906343,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jupally_krishna_rao.jpg
81,Sri Megha Reddy Tudi,INC,Wanaparthy,16.35722257915404,78.06412365391131,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_megha_reddy_tudi.jpg
82,Sri Bandla Krishna Mohan Reddy,BRS,Gadwal,16.17984968263665,77.66955993267248,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bandla_krishna_mohan_reddy.jpg
83,Sri Vijayudu,BRS,Alampur (SC),15.978693912368012,77.87740944731266,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vijayudu.jpg
84,Sri Balu Naik Nenavath,INC,Devarakonda (ST),16.643897314358522,78.9720106842638,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_balu_naik_nenavath.jpg
85,Sri Kunduru Jayaveer,INC,Nagarjunasagar,16.786573304099917,79.29150181991028,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kunduru_jayaveer.jpg
86,Sri Bathula Laxma Reddy,INC,Miryaguda,16.833589367047527,79.56194710055847,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bathula_laxma_reddy.jpg
87,Sri Komati Reddy Venkat Reddy,INC,Nalgonda,17.02202881364974,79.2844193129524,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_komati_reddy_venkat_reddy.jpg
88,Sri Komatireddy Raj Gopal Reddy,INC,Mungode,17.06022935170695,78.93821328369073,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_komatireddy_raj_gopal_reddy.jpg
89,Sri Vemula Veeresham,INC,Nakrekal (SC),17.217737041504407,79.24967705114248,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vemula_veeresham.jpg
90,Sri Uttam Kumar Reddy Nalamada,INC,Huzurnagar,16.816996670778373,79.83956982102315,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_uttam_kumar_reddy_nalamada.jpg
91,Smt. Nalamada Padmavathi Reddy,INC,Kodad,17.0650190571413,79.88664481518202,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_nalamada_padmavathi_reddy.jpg
92,Sri Guntakandla Jagadish Reddy,BRS,Suryapet,17.155653845507775,79.66617090946998,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_guntakandla_jagadish_reddy.jpg
93,Sri Mandula Samel,INC,Thungathurthy (SC),17.38140958741813,79.49201109182329,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mandula_samel.jpg
94,Sri Kumbam Anil Kumar Reddy,INC,Bhongir,17.43002380258843,78.91294028800452,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kumbam_anil_kumar_reddy.jpg
95,Sri Ilaiah Beerla,INC,Alair,17.59667379686494,79.00702419204694,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ilaiah_beerla.jpg
96,Sri Palla Rajeshwar Reddy,BRS,Jangaon,17.872650612071244,79.05608576613731,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_palla_rajeshwar_reddy.jpg
97,Sri Kadiyam Srihari,BRS,Ghanpur (Sc),19.24075575903419,78.75828558110965,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kadiyam_srihari.jpg
98,Smt. Yashaswini Mamidala,INC,Palakurthi,17.61437639967366,79.50926145287421,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_yashaswini_mamidala.jpg
99,Sri Jatoth Ram Chander Naik,INC,Dornakal (ST),17.45654001794544,79.92442259880329,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jatoth_ram_chander_naik.jpg
100,Dr. Murali Naik Bhukya,INC,Mahabubabad (ST),17.676881179939674,79.92975682361437,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_murali_naik_bhukya.jpg
101,Sri Donthi Madhava Reddy,INC,Narasampet,17.923467276069,79.87213039600638,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_donthi_madhava_reddy.jpg
102,Smt. Konda Surekha,INC,Warangal East,17.9661897623915,79.61247257739912,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_konda_surekha.jpg
103,Sri K.R. Nagaraj. K,INC,Wardhannapet (SC),17.895746023153688,79.5890538562131,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kr_nagaraj_k.jpg
104,Sri Revuri Prakash Reddy,INC,Parkal,18.03473445263554,79.6879737562778,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_revuri_prakash_reddy.jpg
105,Sri Naini Rajender Reddy,INC,Warangal West,17.9600273312793,79.58457698500776,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_naini_rajender_reddy.jpg
106,Sri Gandra Satyanarayana Rao,INC,Bhupalpalle,18.34337674947633,79.79606916037345,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gandra_satyanarayana_rao.jpg
107,Sri Payam Venkateswarulu,INC,Pinapaka (ST),17.90242400290749,80.60198630511564,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_payam_venkateswarulu.jpg
108,Sri Koram Kanakaiah,INC,Yellandu (ST),17.606873913749773,80.31896368779418,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_koram_kanakaiah.jpg
109,Sri Kunamneni Sambasiva Rao,CPI,Kothagudem,17.640748183291464,80.65140162119117,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kunamneni_sambasiva_rao.jpg
110,Sri Adinarayana Jare,INC,Aswaraopeta (ST),17.38969831776735,80.93894182245641,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_adinarayana_jare.jpg
111,Dr. Tellam Venkata Rao,BRS,Bhadrachalam (ST),18.223592794903517,80.71371768628866,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_tellam_venkata_rao.jpg
112,Sri Tummala Nageswara Rao,INC,Khammam,17.29882671607077,80.21921549890664,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_tummala_nageswara_rao.jpg
113,Sri Ponguleti Srinivasa Reddy,INC,Palair,17.23664294750654,80.01011362806871,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ponguleti_srinivasa_reddy.jpg
114,Sri Bhatti Vikramarka Mallu,INC,Madhira (SC),17.003498457937262,80.3181776369557,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bhatti_vikramarka_mallu.jpg
115,Sri Ramdas Maloth,INC,Wyra (ST),17.346892439027894,80.38114041908261,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ramdas_maloth.jpg
116,Smt. Matta Ragamayee,INC,Sathupalle (SC),17.200266233262674,80.65435208945911,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_matta_ragamayee.jpg
119,Smt. Anasuya Seethakka Dansari,INC,Mulug (ST),18.17169946277676,80.21707229563086,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_anasuya_seethakka_dansari.jpg
77,Sri Gavinolla Madhusudan Reddy (Gmr),INC,Devarakadra,16.53009401983701,77.91171843337666,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gavinolla_madhusudan_reddy_(gmr).jpg
3,Smt. Kova Laxmi,BRS,Asifabad (ST),19.370468799257964,79.13214416178553,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_kova_laxmi.jpg
1,Sri Anumula Revanth Reddy,INC,Kodangal,17.010154747833642,77.63774767193297,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_anumula_revanth_reddy.jpg
31,Sri Aadi Srinivas,INC,Vemulawada,18.60270307358615,78.75942255705864,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_aadi_srinivas.jpg
23,Sri Adluri Laxman Kumar,INC,Dharmapuri (SC),18.801224416537053,79.12999477926182,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_adluri_laxman_kumar.jpg
10,Sri Alleti Maheshwar Reddy,BJP,Nirmal,19.10204606601573,78.3615679688055,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_alleti_maheshwar_reddy.jpg
8,Sri Anil Jadhav,BRS,Boath (ST),19.48230038118037,78.40258226983308,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_anil_jadhav.jpg
16,Sri Bhoopathi Reddy Rekulapally,INC,Nizamabad (Rural),18.592434104761583,78.278708567816,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bhoopathi_reddy_rekulapally.jpg
34,Sri C. Damodar Rajanarsimha,INC,Andole (SC),17.832980589089864,77.92844764130665,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_c_damodar_rajanarsimha.jpg
36,Sri Chinta Prabhakar,BRS,Sangareddy,17.598197045108268,78.02761217075597,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chinta_prabhakar.jpg
26,Sri Chinthakunta Vijaya Ramana Rao,INC,Peddapalle,18.54506490750708,79.39094552319241,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chinthakunta_vijaya_ramana_rao.jpg
15,Sri Dhanpal Suryanarayana,BJP,Nizamabad (Urban),18.664889264672095,78.08613055686216,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_dhanpal_suryanarayana.jpg
29,Dr. Kavvampally Satyanarayana,INC,Manakondur (SC),18.32975820227992,79.1279767112812,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_kavvampally_satyanarayana.jpg
22,Sri Dr. Sanjay,BRS,Jagatial,18.917627568112827,78.90601125117503,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_dr_sanjay.jpg
25,Sri Duddilla Sridhar Babu,INC,Manthani,18.60783308508128,79.90522013215393,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_duddilla_sridhar_babu.jpg
5,Sri Gaddam Vinod,INC,Bellampalli (SC),19.0927977732221,79.56305605311772,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gaddam_vinod.jpg
27,Sri Gangula Kamalakar,BRS,Karimnagar,18.462366642364252,79.11863655885521,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gangula_kamalakar.jpg
37,Sri Gudem Mahipal Reddy,BRS,Patancheru,17.57689862911297,78.28415093474528,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gudem_mahipal_reddy.jpg
21,Sri Kalvakuntla Sanjay,BRS,Koratla,18.88575130614874,78.66243770149906,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_sanjay.jpg
32,Sri Kalvakuntla Taraka Rama Rao (K.T.R),BRS,Sircilla,18.360337007641835,78.6898084010066,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_taraka_rama_rao_(ktr).jpg
20,Sri Katipally Venkata Ramana Reddy,BJP,Kamareddy,18.29521343158777,78.43473014392431,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_katipally_venkata_ramana_reddy.jpg
30,Sri Kaushik Reddy Padi,BRS,Huzurabad,18.28010033129346,79.47322626575296,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kaushik_reddy_padi.jpg
6,Sri Kokkirala Premsagar Rao,INC,Mancherial,18.935303127617026,79.28209163519777,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kokkirala_premsagar_rao.jpg
35,Sri Koninty Manik Rao,BRS,Zahirabad (SC),17.704484276776498,77.63229532258048,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_koninty_manik_rao.jpg
18,Sri Laxmi Kantha Rao Thota,INC,Jukkal (SC),18.34384299835738,77.75148209014543,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_laxmi_kantha_rao_thota.jpg
19,Sri Madan Mohan Rao. K,INC,Yellareddy,18.30517335245185,78.14576863053924,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madan_mohan_rao_k.jpg
28,Sri Medipally Sathyam,INC,Choppadandi (SC),18.59077218743891,78.99398415225573,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_medipally_sathyam.jpg
24,Sri Makkan Singh Raj Thakur,INC,Ramagundam,18.7669458079048,79.41720598366338,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_makkan_singh_raj_thakur.jpg
38,Sri Mynampally Rohith,INC,Medak,18.069003553191877,78.30229585298108,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mynampally_rohith.jpg
13,Sri P. Sudarshan Reddy,INC,Bodhan,18.740519378768838,77.9369877552062,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_p_sudarshan_reddy.jpg
12,Sri Paidi Rakesh Reddy,BJP,Armoor,18.84634269220064,78.19531912925507,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_paidi_rakesh_reddy.jpg
33,Sri Patlolla Sanjeeva Reddy,INC,Narayankhed,18.0943255007642,77.75265228798423,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_patlolla_sanjeeva_reddy.jpg
7,Sri Payal Shanker,BJP,Adilabad,19.68173651691491,78.6532507882677,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_payal_shanker.jpg
17,Sri Prashanth Reddy Vemula,BRS,Balkonda,18.78437973817268,78.46031977571259,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_prashanth_reddy_vemula.jpg
11,Sri Ram Rao Pawar,BJP,Mudhole,19.087631816181396,77.98470573120679,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ram_rao_pawar.jpg
14,Sri Srinivas Reddy Parige (Pocharam),BRS,Banswada,18.502900086625445,77.88797745316977,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_srinivas_reddy_parige_(pocharam).jpg
